customer,location,unit,job_date,diagnosis,diagnosis_raw,invoice_subtotal,tax_rate,invoice_tax,invoice_total
Wynnefield Properties,Kattz Corner,105,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$385.00,6.75%,$25.99,$410.99
Wynnefield Properties,Kattz Corner,115,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$192.72,6.75%,$13.01,$205.73
Wynnefield Properties,Kattz Corner,132,05/27/25 11:02 AM,SYS - LV - Repair - Short,,"$2,414.00",6.75%,$162.95,"$2,576.95"
Wynnefield Properties,Kattz Corner,212,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$275.00,6.75%,$18.56,$293.56
Wynnefield Properties,Kattz Corner,321,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$110.00,6.75%,$7.43,$117.43
Wynnefield Properties,Kattz Corner,511,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$446.00,6.75%,$30.11,$476.11
Wynnefield Properties,Kattz Corner,518,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$110.00,6.75%,$7.43,$117.43
Wynnefield Properties,Kattz Corner,523,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$55.00,6.75%,$3.71,$58.71
Wynnefield Properties,Kattz Corner,525,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$110.00,6.75%,$7.43,$117.43
Wynnefield Properties,Kattz Corner,222,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Recover,,"$1,118.75",6.75%,$75.52,"$1,194.27"
Wynnefield Properties,Kendall Creek,532,05/27/25 11:02 AM,AHU - Control Board - Replace,,$516.30,7.00%,$36.14,$552.44
Wynnefield Properties,Kendall Creek,424,07/08/25 8:05 AM,SYS - MIN - Reser Power - AHU,,$140.00,7.00%,$9.80,$149.80
Wynnefield Properties,Kendall Creek,484,05/27/25 11:02 AM,SYS - MIN - Reset Power - CU,,$80.00,7.00%,$5.60,$85.60
Wynnefield Properties,Kendall Creek,498,05/27/25 11:02 AM,SYS - MIN - Reset Power - CU,,$80.00,7.00%,$5.60,$85.60
Wynnefield Properties,Kendall Creek,500,05/27/25 11:02 AM,SYS - MIN - Reset Power - CU,,$80.00,7.00%,$5.60,$85.60
Wynnefield Properties,Kendall Creek,408,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$470.00,7.00%,$32.90,$502.90
Wynnefield Properties,Kendall Creek,416,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$382.00,7.00%,$26.74,$408.74
Wynnefield Properties,Kendall Creek,470,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$140.00,7.00%,$9.80,$149.80
Wynnefield Properties,Kendall Creek,472,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$70.00,7.00%,$4.90,$74.90
Wynnefield Properties,Kendall Creek,486,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$250.00,7.00%,$17.50,$267.50
Wynnefield Properties,Kendall Creek,500,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$184.00,7.00%,$12.88,$196.88
Wynnefield Properties,Kendall Creek,502,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$184.00,7.00%,$12.88,$196.88
Wynnefield Properties,Kendall Creek,508,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$184.00,7.00%,$12.88,$196.88
Wynnefield Properties,Kendall Creek,508,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$272.00,7.00%,$19.04,$291.04
Wynnefield Properties,Kendall Creek,514,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$70.00,7.00%,$4.90,$74.90
Wynnefield Properties,Kendall Creek,516,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$250.00,7.00%,$17.50,$267.50
Wynnefield Properties,Kendall Creek,Hallway 3rd floor west wing,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$195.00,7.00%,$13.65,$208.65
Wynnefield Properties,Kendall Creek,422,06/11/25 9:42 AM,SYS - LV - Repair - Short,,$85.00,7.00%,$5.95,$90.95
Wynnefield Properties,Kendall Creek,478,06/11/25 9:51 AM,SYS - LV - Repair - Short,,$85.00,7.00%,$5.95,$90.95
Wynnefield Properties,Kirkwood Crossing,2218 2D,06/27/25 9:13 AM,SYS - MIN - Reser Power - AHU,,$85.00,6.75%,$5.74,$90.74
Wynnefield Properties,Kirkwood Crossing,2208 1B,07/15/25 12:08 PM,AHU - Evap Coil - Replace,,"$1,595.20",6.75%,$107.68,"$1,702.88"
Wynnefield Properties,Kirkwood Crossing,2208-1A,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,512.00",6.75%,$102.06,"$1,614.06"
Wynnefield Properties,Kirkwood Crossing,2208-2B,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,671.96",6.75%,$112.86,"$1,784.82"
Wynnefield Properties,Kirkwood Crossing,2208-2F,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,585.00",6.75%,$106.99,"$1,691.99"
Wynnefield Properties,Kirkwood Crossing,2208-3B,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,936.20",6.75%,$130.69,"$2,066.89"
